Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q39,109.8,117.56,5.018,-0.30838,1.260e-2,0.0108,0.0144,864,2.009e-4,2.009e-4,2.009e-4,39_33:9.309e-3; 39_38:7.066e-3; 39_40:1.417e-2,39_33:348.444; 39_38:476.444; 39_40:647.111
Q40,83.63,17.56,5.163,-0.30613,6.800e-3,0.009,0.0046,864,3.548e-4,3.548e-4,3.548e-4,40_41:9.121e-3; 40_39:1.417e-2,40_41:320; 40_39:611.556
Q41,102.24,41.42,5.093,-0.30775,3.240e-2,0.0396,0.0252,864,4.051e-4,4.051e-4,4.051e-4,41_53:1.898e-2; 41_40:9.121e-3; 41_42:9.011e-3,41_53:355.556; 41_40:355.556; 41_42:583.111
Q42,156.93,223.75,4.925,-0.30938,3.570e-2,0.0532,0.0182,864,2.110e-4,2.110e-4,2.110e-4,42_41:9.011e-3; 42_43:1.275e-2,42_41:618.667; 42_43:803.556
Q43,126.43,139.36,5.033,-0.30812,2.530e-2,0.0294,0.0212,864,2.008e-3,2.008e-3,2.008e-3,43_34:1.742e-2; 43_44:1.866e-2; 43_42:1.275e-2,43_34:1180.444; 43_44:426.667; 43_42:839.111
Q44,96.33,107.39,5.116,-0.30753,2.740e-2,0.0396,0.0152,864,1.826e-3,1.826e-3,1.826e-3,44_45:1.762e-2; 44_43:1.866e-2,44_45:1073.778; 44_43:391.111
Q45,115.02,129.62,4.88,-0.30948,3.000e-2,0.0264,0.0336,864,2.154e-4,2.154e-4,2.154e-4,45_46:1.299e-2; 45_44:1.762e-2; 45_54:2.490e-2,45_46:867.556; 45_44:1109.333; 45_54:597.333
Q46,85.86,144.39,5.145,-0.30658,7.030e-2,0.075,0.0656,864,2.102e-4,2.102e-4,2.102e-4,46_47:1.389e-2; 46_45:1.299e-2,46_47:910.222; 46_45:832
Q47,143.4,23.48,5.001,-0.30885,1.580e-2,0.0196,0.012,864,1.858e-4,1.858e-4,1.858e-4,47_46:1.389e-2; 47_35:5.534e-3; 47_48:5.947e-3,47_46:945.778; 47_35:412.444; 47_48:341.333
Q48,118.77,185.8,4.934,-0.309,5.100e-3,0.0052,0.005,864,1.504e-4,1.504e-4,1.504e-4,48_49:7.948e-3; 48_47:5.947e-3,48_49:440.889; 48_47:376.889
Q49,76.43,127.5,5.116,-0.30701,7.100e-3,0.0086,0.0056,864,2.112e-4,2.112e-4,2.112e-4,49_50:1.294e-2; 49_55:7.992e-3; 49_48:7.948e-3,49_50:497.778; 49_55:448; 49_48:405.333
Q50,122.51,104.64,5.018,-0.30795,1.050e-2,0.0126,0.0084,864,3.004e-4,3.004e-4,3.004e-4,50_51:6.619e-3; 50_49:1.294e-2,50_51:348.444; 50_49:462.222
Q51,153.54,90.56,5.209,-0.30446,4.900e-3,0.0058,0.004,864,1.970e-4,1.970e-4,1.970e-4,51_50:6.619e-3; 51_36:6.787e-3,51_50:312.889; 51_36:398.222
Q52,64.15,41.67,5.016,-0.30785,6.700e-3,0.0092,0.0042,864,2.549e-4,2.549e-4,2.549e-4,52_37:2.808e-2; 52_56:1.108e-2,52_37:981.333; 52_56:561.778
Q53,67.74,18.08,5.048,-0.30705,4.690e-2,0.0486,0.0452,864,1.230e-3,1.230e-3,1.230e-3,53_41:1.898e-2; 53_60:5.154e-2,53_41:391.111; 53_60:384
Q54,94.85,117.46,5.026,-0.30335,1.030e-2,0.0136,0.007,864,2.635e-4,2.635e-4,2.635e-4,54_64:8.848e-3; 54_45:2.490e-2,54_64:376.889; 54_45:561.778
Q55,86.22,133,5.197,-0.30556,9.600e-3,0.011,0.0082,864,2.292e-4,2.292e-4,2.292e-4,55_68:1.095e-2; 55_49:7.992e-3,55_68:469.333; 55_49:483.556
Q56,65.12,80.38,5.188,-0.30564,8.100e-3,0.0122,0.004,864,2.878e-4,2.878e-4,2.878e-4,56_57:1.029e-2; 56_52:1.108e-2,56_57:419.556; 56_52:526.222
